NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
03177,"BABYFOOD,JUC,ORANGE&PNAPPL",87.3,48,0.5,0.1,0.4,11.7,0.1,,8,0.42,9,9,141,2,0.04,0.044,,0.1,53.4,0.05,0.023,0.194,0.059,0.062,19,0,19,19,,0,31,2,0,,,,,,0.6,,,,0.01,0.014,0.024,0
03178,"BABYFOOD,JUC,PRUNE&ORANGE",81.9,70,0.6,0.3,0.4,16.8,,,12,0.87,8,10,181,2,0.04,0.046,,0.1,63.8,0.044,0.12,0.396,0.137,0.061,13,0,13,13,,0,131,7,0,,,,,,,,,,,,,
03179,"BABYFOOD,JUC,MXD FRUIT",87.9,47,0.1,0.1,0.2,11.7,0.1,8.46,8,0.34,5,5,101,8,0.03,0.04,,0.5,63.6,0.023,0.014,0.123,0.115,0.043,7,0,7,7,3.5,0,42,2,0,11,19,1,0,21,0.04,0,0,0.9,0.015,0.006,0.039,0
03181,"BABYFOOD,CRL,BARLEY,DRY FORT",6.8,376,13.2,6.6,4,69.4,6.6,13.2,643,48.21,115,333,467,33,3.13,0.467,,30.2,0,0.892,1.07,14.28,4.92,0.714,179,156,23,287,45.4,3.57,0,0,0,0,0,0,0,170,5,7.1,286,2.3,0.894,1.45,3.859,0
03184,"BABYFOOD,CRL,WHL WHEAT,W/ APPLS,DRY FORT",1.7,402,6.6,4.8,3.7,83.2,6.7,26.66,600,45,140,200,500,66,2.6,0.62,2.52,64.7,58.3,0.33,1,13.33,0.953,0.66,166,142,24,265,42.1,3.33,0,0,0,0,0,0,0,203,50,0,0,8.3,0.639,1.277,1.866,0
03185,"BABYFOOD,CRL,MXD,DRY FORT",6.7,399,6.66,6.66,1.77,78.21,6.7,26.66,800,30,100,333,467,33,10.66,0.334,,25.9,58.3,1.166,1.333,15,1.074,1.166,167,132,35,259,23.2,5,0,0,0,0,0,0,0,148,4.21,0,0,1.5,0.769,1.206,1.697,0
03186,"BABYFOOD,CRL,MXD,W/ BANANAS,DRY",4.5,391,10.7,4.6,3.1,77.1,7.8,6.68,696,47.5,90,367,668,0,1.4,0.256,,20,3.6,3.78,3.56,20.56,,0.408,17,0,17,17,28.6,0.24,125,6,0,49,51,0,0,96,0.51,0,0,3.5,0.846,1.223,1.734,0
03187,"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,STR",80,82,0.71,0.51,0.4,18.38,1,11.1,91,6.81,7,29,111,5,1.01,0.055,,2.6,15.9,0.126,0.156,2.02,0.195,0.101,25,25,0,43,3.5,0.51,0,0,0,0,0,0,0,10,0.03,0,0,0.3,0.09,0.135,0.191,0
03188,"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR,FORT",79.6,84,0.71,0.51,0.4,18.79,1,11.1,91,6.81,7,29,111,5,1.01,0.055,,2.6,15.9,0.126,0.156,2.02,0.195,0.101,25,25,0,43,3.5,0.51,0,0,0,0,0,0,0,10,0.68,0,0,0.3,0.072,0.108,0.152,0
03189,"BABYFOOD,CRL,OATMEAL,DRY FORT",4.56,394,10.99,6.36,4.6,73.48,7.3,11.67,1160,64.1,110,506,549,21,12.68,0.419,3.894,23.4,0,1.431,1.586,21.348,1.871,0.853,247,212,35,396,27,4.6,16,0,0,0,0,0,0,185,12.23,12.7,510,1.4,0.841,1.564,1.748,0
